Date;Priming;BurstIntensity
01/01/2013;8.948393168143697;4.313559322033901
02/01/2013;8.521437889662113;4.313559322033901
03/01/2013;8.043041560655723;6.223684210526315
04/01/2013;1.4085842092104504;6.223684210526315
05/01/2013;1.690133154060661;6.223684210526315
06/01/2013;1.4085842092104504;4.576271186440678
07/01/2013;1.4085842092104504;9.420648464163824
08/01/2013;1.690133154060661;9.720645275035261
09/01/2013;2.010011912257319;9.605606488011283
10/01/2013;2.3692775868212177;9.305460750853246
11/01/2013;2.7680432110155637;9.305460750853246
12/01/2013;3.2053052101554123;9.305460750853246
13/01/2013;3.6787944117144233;9.507757404795488
14/01/2013;4.184863060425645;9.507757404795488
15/01/2013;4.718419924920745;9.507757404795488
16/01/2013;5.272924240430486;9.507757404795488
17/01/2013;5.840446884413829;9.507757404795488
18/01/2013;6.411803884299546;9.507757404795488
19/01/2013;6.97676326071031;9.507757404795488
20/01/2013;7.524321560893032;9.507757404795488
21/01/2013;8.043041560655723;9.507757404795488
22/01/2013;8.521437889662113;9.507757404795488
23/01/2013;8.948393168143697;9.507757404795488
24/01/2013;9.31358402111352;9.507757404795488
25/01/2013;9.607894391523232;9.507757404795488
26/01/2013;9.823793146181776;9.507757404795488
27/01/2013;9.955654174830928;9.507757404795488
28/01/2013;10.0;9.507757404795488
29/01/2013;9.955654174830928;9.507757404795488
30/01/2013;9.823793146181776;9.507757404795488
31/01/2013;9.607894391523232;9.305460750853246
01/02/2013;9.31358402111352;8.998293515358364
02/02/2013;8.948393168143697;9.650564174894217
03/02/2013;8.521437889662113;9.650564174894217
04/02/2013;8.043041560655723;9.650564174894217
05/02/2013;7.524321560893032;9.650564174894217
06/02/2013;6.97676326071031;9.650564174894217
07/02/2013;6.411803884299546;9.639985895627644
08/02/2013;5.840446884413829;9.639985895627644
09/02/2013;5.272924240430486;9.639985895627644
10/02/2013;4.718419924920745;9.639985895627644
11/02/2013;4.718419924920745;9.597672778561353
12/02/2013;4.184863060425645;9.645275035260932
13/02/2013;3.6787944117144233;9.692877291960508
14/02/2013;3.2053052101554123;9.692877291960508
15/02/2013;2.7680432110155637;9.692877291960508
16/02/2013;2.3692775868212177;9.692877291960508
17/02/2013;2.010011912257319;9.692877291960508
18/02/2013;1.690133154060661;9.692877291960508
19/02/2013;1.4085842092104504;9.692877291960508
20/02/2013;1.163548028087039;9.692877291960508
21/02/2013;0.9526325532781016;9.692877291960508
22/02/2013;0.7730474044329971;9.692877291960508
23/02/2013;0.6217652402211629;9.692877291960508
24/02/2013;0.4956628350491174;9.692877291960508
25/02/2013;0.39163895098987067;9.692877291960508
26/02/2013;0.30670793026394055;9.692877291960508
27/02/2013;0.23806948722728996;9.692877291960508
28/02/2013;0.1831563888873418;9.692877291960508
01/03/2013;0.13966256466258137;9.692877291960508
02/03/2013;0.105554695661988;9.740479548660085
03/03/2013;9.607894391523232;9.740479548660085
04/03/2013;9.823793146181776;9.56858251057828
05/03/2013;9.955654174830928;8.767918088737204
06/03/2013;10.0;9.555359661495064
07/03/2013;9.955654174830928;8.095989761092147
08/03/2013;9.823793146181776;7.210526315789478
09/03/2013;9.607894391523232;7.210526315789478
10/03/2013;9.31358402111352;7.210526315789478
11/03/2013;8.948393168143697;7.210526315789478
12/03/2013;8.521437889662113;7.210526315789478
13/03/2013;8.043041560655723;7.605263157894735
14/03/2013;7.524321560893032;7.447368421052634
15/03/2013;6.97676326071031;7.447368421052634
16/03/2013;6.411803884299546;7.447368421052634
17/03/2013;5.840446884413829;7.447368421052634
18/03/2013;5.272924240430486;7.447368421052634
19/03/2013;4.718419924920745;7.447368421052634
20/03/2013;4.184863060425645;7.447368421052634
21/03/2013;3.6787944117144233;7.447368421052634
22/03/2013;3.2053052101554123;7.447368421052634
23/03/2013;2.7680432110155637;7.447368421052634
24/03/2013;2.3692775868212177;7.447368421052634
25/03/2013;2.010011912257319;7.447368421052634
26/03/2013;1.690133154060661;7.447368421052634
27/03/2013;1.4085842092104504;7.447368421052634
28/03/2013;1.163548028087039;7.447368421052634
29/03/2013;0.9526325532781016;7.447368421052634
30/03/2013;0.7730474044329971;7.447368421052634
31/03/2013;0.6217652402211629;7.447368421052634
01/04/2013;0.4956628350491174;7.447368421052634
02/04/2013;0.39163895098987067;7.605263157894735
03/04/2013;0.30670793026394055;7.605263157894735
04/04/2013;0.23806948722728996;7.802631578947363
05/04/2013;0.1831563888873418;8.127986348122864
06/04/2013;0.13966256466258137;8.127986348122864
07/04/2013;0.105554695661988;9.528913963328632
08/04/2013;4.718419924920745;5.381355932203393
09/04/2013;4.184863060425645;1.8918918918918923
10/04/2013;3.6787944117144233;0.4729729729729768
11/04/2013;3.2053052101554123;0.472972972972975
12/04/2013;3.6787944117144233;0.27027027027027717
13/04/2013;3.2053052101554123;0.27027027027027717
14/04/2013;2.3692775868212177;0.10810810810811167
15/04/2013;2.7680432110155637;0.10810810810811167
16/04/2013;3.2053052101554123;0.10810810810811167
17/04/2013;3.6787944117144233;0.10810810810811167
18/04/2013;4.184863060425645;0.10810810810811167
19/04/2013;4.718419924920745;0.10810810810811167
20/04/2013;5.272924240430486;0.10810810810811167
21/04/2013;5.840446884413829;0.10810810810811167
22/04/2013;6.411803884299546;0.10810810810811167
23/04/2013;6.97676326071031;0.10810810810811167
24/04/2013;7.524321560893032;0.10810810810811167
25/04/2013;8.043041560655723;0.10810810810811167
26/04/2013;8.521437889662113;0.10810810810811167
27/04/2013;8.948393168143697;0.10810810810811167
28/04/2013;9.31358402111352;0.10810810810811167
